formula_discharge,composite_score,confidence_rank_sigma,average_voltage_pred,average_voltage_sigma,average_voltage_lcb,average_voltage_ucb,average_voltage_epi_frac,capacity_grav_pred,capacity_grav_sigma,capacity_grav_lcb,capacity_grav_ucb,capacity_grav_epi_frac,max_delta_volume_pred,max_delta_volume_sigma,max_delta_volume_lcb,max_delta_volume_ucb,max_delta_volume_epi_frac,framework,substitution
Na8Co7(PO4)8,3.4824995228683284,0.19488019614572327,4.321976737499404,0.1526965569886512,3.6861330125149094,4.957820462483898,0.3653528655291158,151.7088538744793,8.34723795810207,115.3073670757055,188.11034067325312,0.5158373293401138,0.0542448250007635,0.0242182909544626,-0.046946522721300094,0.1554361727228271,0.7419547721392666,Na8O32P8,Co->slot7.0
Na2CoNi2(P2O7)2,3.245549141999878,0.1142902036286821,4.769686368991119,0.14065365358173865,4.183990497454616,5.3553822405276215,0.535782093336811,86.57827402056486,5.91419790796061,60.78703646958533,112.3695115715444,0.6834087088252732,0.039528600529595295,0.009599316668461047,-0.0005802491294865791,0.07963745018867717,0.2272025804355218,Na2O14P4,Ni/Co mix slot3.0
Na2Co3(P2O7)2,3.1913769978645443,0.14621614629005764,4.7969204182208625,0.19401250425000643,3.9890329594023726,5.604807877039352,0.6443876226650168,94.72571238694954,7.3627277598975605,62.61757809149267,126.8338466824064,0.7767354800253883,0.02668381886198078,0.011599510968851933,-0.021782447814805556,0.07515008553876712,0.5455654066550171,Na2O14P4,Co->slot3.0
NaFeCoP2O9,3.079516580345218,0.12348216307886968,4.988966899533319,0.1528594286732479,4.352444960575499,5.6254888384911395,0.30158681533345727,71.9894046800434,6.477341924683988,43.74235125398543,100.23645810610138,0.8056539949139362,0.02164078638693531,0.010206491300899886,-0.021005022608982567,0.06428659538285318,0.5625019058048518,Na1O9P2,Fe/Co mix slot2.0
NaMnNiP2O9,2.9845146802206193,0.11749325408109812,4.915913255557131,0.16859132727768072,4.213882118441919,5.617944392672342,0.698795112361947,72.19430966659488,5.405950587442192,48.619488877809815,95.76913045537994,0.7265707174858635,0.03611022734149179,0.009102072439522926,-0.0019209854699744969,0.07414144015295807,0.466017401104888,Na1O9P2,Mn/Ni mix slot2.0
Na7V4(PO4)6,2.9679921744545066,0.1689347525214974,3.239374091050294,0.1553669793732201,2.592410460353633,3.8863377217469552,0.6366429734342273,175.92044791423143,9.479006698271752,134.58342854033037,217.2574672881325,0.46256542294646047,0.09863601087649573,0.016760950317516742,0.028603688822013904,0.16866833293097755,0.23122715286682025,Na7O24P6,V->slot4.0
Na4CoNi2P4O15,2.9228868819929703,0.22974558067195652,4.612618977671628,0.3212709579058706,3.2748145986286357,5.950423356714621,0.8353491703437084,147.54874549619788,12.075818237124219,94.8872854600188,200.21020553237696,0.6810047323044067,0.05574462838285038,0.016528975973361906,-0.013318434669577703,0.12480769143527846,0.4282089735731039,Na4O15P4,Ni/Co mix slot3.0
NaCo2P2O9,2.9055509826004977,0.1352651187744269,4.91614473784608,0.17962079069614392,4.16818581268587,5.664103663006291,0.5358125922930913,71.8821396387293,5.847743084515122,46.38070506096174,97.38357421649687,0.7452866686443597,0.0225014301119381,0.011888388164293613,-0.02717185289758113,0.07217471312145733,0.6272074142061197,Na1O9P2,Co->slot2.0
Na2Fe2Ni(P2O7)2,2.897466405556849,0.1669131909743988,4.872414672455943,0.25833772462250054,3.7966705668426277,5.948158778069259,0.7374143006507091,94.66370449801694,9.01321091430632,55.35797489518135,133.96943410085254,0.8177923844944628,0.0267639760390376,0.010073858804177906,-0.015327654252847225,0.06885560633092243,0.451659044074773,Na2O14P4,Fe/Ni mix slot3.0
NaFeNiP2O9,2.8937558858565717,0.13269800992655678,4.89726347403721,0.19071598710476895,4.103103042091099,5.691423905983321,0.5546712387033426,73.60797433058507,6.51824916932824,45.18252841908864,102.03342024208149,0.7868836332051483,0.02511041028127921,0.009759920427634666,-0.015669490480069378,0.0658903110426278,0.5347620219180954,Na1O9P2,Fe/Ni mix slot2.0
Na3Fe2Ni(PO4)4,2.879347089713538,0.17781909456845157,4.925749122025468,0.15189554935453964,4.293240872888358,5.558257371162577,0.3209036170949246,107.19709364481757,13.412111436077486,48.70818990987893,165.6859973797562,0.7479875857473287,0.0287383253660703,0.014251044434410522,-0.030806850446564324,0.08828350117870493,0.6679732216486439,Na3O16P4,Fe/Ni mix slot3.0
Na8CoNi6(PO4)8,2.8672309357186014,0.19847945559778868,4.400189432315484,0.16903871319374653,3.6962953355305395,5.1040835291004285,0.6502803113439147,144.5445182015539,11.257056187332484,95.45359923493928,193.63543716816852,0.7381130108587233,0.07385586334793848,0.020436879472625624,-0.011535603001064779,0.15924732969694172,0.5821520716130155,Na8O32P8,Ni/Co mix slot7.0
NaNiP2O7,2.840441070901816,0.17286234446738216,5.210698869017807,0.224271009022205,4.276811972057134,6.14458576597848,0.7182306137852776,92.98489471421516,10.041434136005734,49.19518439599163,136.77460503243867,0.9275841665456981,0.03954521281679273,0.012430621297015306,-0.012393684293359568,0.09148410992694503,0.5040661463640522,Na1O7P2,Ni->slot1.0
NaFePO5,2.821062603764358,0.20617786122601398,4.6422056650630745,0.15035164839594486,4.016126373827046,5.268284956299103,0.26276270392544543,132.90247956672675,11.221813271433977,83.96525150293164,181.83970763052187,0.4976249157310915,0.059494071100575405,0.02346571114257472,-0.03855277044735128,0.1575409126485021,0.7026750268727512,Na1O5P1,Fe->slot1.0
